link,title,description,pubDate
https://triathlonmagazine.ca/news/female-pro-triathlete-provisionally-suspended-for-doping-blames-sex/,Female pro triathlete provisionally suspended for doping blames sex,Imogen Simmonds claiming sex with her partner caused the positive test The post Female pro triathlete provisionally suspended for doping blames sex appeared first on Triathlon Magazine Canada .,"Wed, 26 Feb 2025 17:19:53 +0000"
https://triathlonmagazine.ca/uncategorized/is-nike-on-the-cusp-of-creating-the-first-smart-running-shoe/,Is Nike on the cusp of creating the first smart running shoe?,Its latest shoe concept involves an electronic powered adjustable shoe The post Is Nike on the cusp of creating the first smart running shoe? appeared first on Triathlon Magazine Canada .,"Tue, 25 Feb 2025 21:31:52 +0000"
https://triathlonmagazine.ca/news/canadian-triathlon-legend-to-lead-training-session-at-national-age-group-camp/,Canadian triathlon legend to lead training session at national age group camp,Olympic gold medallist Canadian Simon Whitfield will be on deck The post Canadian triathlon legend to lead training session at national age group camp appeared first on Triathlon Magazine Canada .,"Tue, 25 Feb 2025 19:40:18 +0000"
https://triathlonmagazine.ca/training/5-tips-for-strong-and-healthy-hips-on-the-run-and-bike/,5 Tips for strong and healthy hips on the run and bike,Prepare your body for the challenges of outdoor riding and running The post 5 Tips for strong and healthy hips on the run and bike appeared first on Triathlon Magazine Canada .,"Tue, 25 Feb 2025 15:22:06 +0000"
https://protriathletes.org/media-releases/new-pro-amateur-courses-revealed-for-ibiza-t100-triathlon-2/,New Pro & Amateur Courses Revealed for Ibiza T100 Triathlon,"Ibiza, Spain: The Professional Triathletes Organisation (PTO) has revealed new professional and amateur courses for its Ibiza T100 Triathlon on 28-29 September. Continuing to test its T100 stars in environments that offer different terrains and conditions, the professional course will start with a 2km sea swim in Mediterranean waters off Figueretas Beach, with 2 laps […] The post New Pro & Amateur Courses Revealed for Ibiza T100 Triathlon appeared first on PTO .","Tue, 09 Jul 2024 07:40:58 +0000"
https://protriathletes.org/news/ashleigh-gentle-wins-pto-us-open-in-texas-heat/,Ashleigh Gentle Wins PTO US Open In Texas Heat,PTO World #6 Ashleigh Gentle put in an astonishing run performance despite soaring temperatures to claim the first-ever PTO US Open title. The post Ashleigh Gentle Wins PTO US Open In Texas Heat appeared first on PTO .,"Sun, 18 Sep 2022 00:19:48 +0000"
https://protriathletes.org/news/pto-us-open-womens-pro-field-announced/,PTO US Open Women’s Race Preview,"The PTO US Open women’s race is bursting with world-class pro triathlon talent, all eyeing a slice of the huge $1m prize purse – but who will make history in Texas? As the inaugural year of the PTO Tour comes to a close at the PTO US Open in Dallas, there’s one last chance for […] The post PTO US Open Women’s Race Preview appeared first on PTO .","Tue, 13 Sep 2022 16:21:00 +0000"
https://protriathletes.org/news/pto-us-open-mens-pro-field-announced/,PTO US Open Men’s Race Preview,"The PTO US Open men’s race boasts a world-class class field set to fight for the $1m prize purse – but who will be the first-ever PTO US Open Champion? As the last PTO Tour event of the year, the inaugural PTO US Open in Dallas is a key race – both for athletes seeking […] The post PTO US Open Men’s Race Preview appeared first on PTO .","Fri, 02 Sep 2022 15:50:33 +0000"
https://protriathletes.org/news/team-europe-win-2022-collins-cup/,Team Europe Win 2022 Collins Cup,"Team Europe once again dominated the Collins Cup to secure back-to-back victories in triathlon’s flagship team event. In the Collins Cup battle between Team Europe, Team US and Team International, it was the defending champions from Europe who prevailed on home soil. Winning eight of the 12 match-ups, Team Europe proved the continue to rule […] The post Team Europe Win 2022 Collins Cup appeared first on PTO .","Tue, 23 Aug 2022 13:48:01 +0000"
https://protriathletes.org/news/gustav-iden-wins-first-ever-pto-canadian-open/,Gustav Iden Wins First Ever PTO Canadian Open,"Norway's Gustav Iden has become the first ever PTO Canadian Open Champion, proving himself the strongest in a dramatic race in Edmonton. The post Gustav Iden Wins First Ever PTO Canadian Open appeared first on PTO .","Mon, 25 Jul 2022 18:40:47 +0000"
https://protriathletes.org/news/ashleigh-gentle-wins-pto-candian-open/,Ashleigh Gentle Wins PTO Candian Open,"Australia's Ashleigh Gentle wins the PTO Canadian Open to claim $100,000 ahead of Canada's Paula Findlay and the USA's Chelsea Sodaro. The post Ashleigh Gentle Wins PTO Candian Open appeared first on PTO .","Sun, 24 Jul 2022 15:06:50 +0000"
https://protriathletes.org/news/pto-canadian-open-2022-mens-race-preview/,PTO Canadian Open: Men’s Race Preview,The PTO Canadian Open action continues on Sunday with a stellar men’s field battling for the $1m prize purse in Edmonton. The post PTO Canadian Open: Men’s Race Preview appeared first on PTO .,"Sat, 23 Jul 2022 03:32:12 +0000"
https://protriathletes.org/news/pto-canadian-open-2022-womens-race-preview/,PTO Canadian Open: Women’s Race Preview,"The PTO Canadian Open gets underway tomorrow, with one of the strongest fields ever assembled in pro triathlon ready for action in Edmonton. The post PTO Canadian Open: Women’s Race Preview appeared first on PTO .","Fri, 22 Jul 2022 22:19:41 +0000"
https://protriathletes.org/news/pto-canadian-open-mens-field-announced/,PTO Canadian Open Men’s Field Announced,The men’s field for the first PTO Canadian Open has been announced and we’re in for some ferocious racing from a stacked start list. The post PTO Canadian Open Men’s Field Announced appeared first on PTO .,"Tue, 28 Jun 2022 15:50:56 +0000"
https://protriathletes.org/news/pto-canadian-open-womens-field-announced/,PTO Canadian Open Women’s Field Announced,The women’s field for the first PTO Canadian Open has been announced and we’re in for some ferocious racing from a stacked start list. The post PTO Canadian Open Women’s Field Announced appeared first on PTO .,"Mon, 27 Jun 2022 17:26:00 +0000"
